Model,AP / Acc / R_Acc / F_Acc,progan,cyclegan,biggan,stylegan,gaugan,stargan,deepfake,sitd,san,crn,imle,guided,ldm_200,ldm_200_cfg,ldm_100,glide_100_27,glide_50_27,glide_100_10,dalle,Time
univfd_clip_rn50_prob0_0.5thresh,"(65.75, 61.31, 48.82, 73.81)","(99.28, 95.52, 95.15, 95.9)","(77.62, 75.78, 67.15, 84.41)","(67.07, 63.72, 55.2, 72.25)","(92.14, 82.08, 95.29, 68.87)","(76.56, 64.8, 41.3, 88.3)","(88.96, 68.73, 98.8, 38.67)","(62.69, 60.41, 33.1, 87.81)","(76.87, 71.67, 61.67, 81.67)","(63.1, 61.42, 61.19, 61.64)","(47.57, 50.25, 1.21, 99.29)","(80.49, 50.54, 1.21, 99.87)","(82.53, 75.6, 75.5, 75.7)","(50.52, 51.05, 34.4, 67.7)","(38.04, 35.7, 34.4, 37.0)","(53.01, 54.15, 34.4, 73.9)","(50.65, 53.3, 34.4, 72.2)","(50.25, 54.5, 34.4, 74.6)","(49.92, 53.9, 34.4, 73.4)","(42.08, 41.8, 34.4, 49.2)","26 Aug 2024, 05:17PM"
univfd_clip_rn50_prob0_bestthresh,"(65.75, 61.01, 52.26, 69.76)","(99.28, 95.85, 96.62, 95.08)","(77.62, 75.93, 71.08, 80.77)","(67.07, 63.88, 60.15, 67.6)","(92.14, 80.8, 96.11, 65.5)","(76.56, 66.47, 46.86, 86.08)","(88.96, 65.83, 99.15, 32.52)","(62.69, 61.79, 41.12, 82.54)","(76.87, 69.17, 65.56, 72.78)","(63.1, 61.87, 66.67, 57.08)","(47.57, 50.31, 2.15, 98.48)","(80.49, 50.95, 2.15, 99.75)","(82.53, 74.95, 77.9, 72.0)","(50.52, 50.6, 38.2, 63.0)","(38.04, 35.5, 38.2, 32.8)","(53.01, 53.9, 38.2, 69.6)","(50.65, 52.85, 38.2, 67.5)","(50.25, 54.0, 38.2, 69.8)","(49.92, 53.25, 38.2, 68.3)","(42.08, 41.2, 38.2, 44.2)","26 Aug 2024, 05:17PM"
univfd_clip_rn50_prob0.1_0.5thresh,"(62.33, 56.3, 41.34, 71.26)","(98.72, 93.9, 92.02, 95.78)","(71.07, 61.39, 28.01, 94.78)","(75.22, 65.85, 49.55, 82.15)","(87.77, 80.33, 79.47, 81.19)","(86.17, 66.09, 36.2, 95.98)","(73.91, 65.56, 64.13, 66.98)","(60.04, 58.7, 70.37, 47.0)","(59.55, 56.11, 58.33, 53.89)","(36.24, 31.74, 38.81, 24.66)","(52.73, 50.64, 6.61, 94.67)","(77.13, 52.58, 6.61, 98.54)","(58.97, 53.25, 32.7, 73.8)","(62.28, 59.1, 31.8, 86.4)","(42.62, 42.8, 31.8, 53.8)","(64.78, 59.85, 31.8, 87.9)","(40.76, 38.8, 31.8, 45.8)","(41.12, 41.55, 31.8, 51.3)","(39.17, 37.6, 31.8, 43.4)","(56.05, 53.9, 31.8, 76.0)","26 Aug 2024, 05:17PM"
univfd_clip_rn50_prob0.1_bestthresh,"(62.33, 56.64, 47.61, 65.67)","(98.72, 94.4, 94.28, 94.52)","(71.07, 64.04, 34.82, 93.26)","(75.22, 67.03, 55.8, 78.25)","(87.77, 79.54, 82.91, 76.16)","(86.17, 68.4, 42.6, 94.2)","(73.91, 66.23, 74.34, 58.13)","(60.04, 56.5, 80.98, 31.95)","(59.55, 56.11, 70.0, 42.22)","(36.24, 31.51, 46.12, 16.89)","(52.73, 50.74, 10.44, 91.04)","(77.13, 53.93, 10.44, 97.43)","(58.97, 53.15, 38.7, 67.6)","(62.28, 59.5, 37.6, 81.4)","(42.62, 42.55, 37.6, 47.5)","(64.78, 60.8, 37.6, 84.0)","(40.76, 38.9, 37.6, 40.2)","(41.12, 40.9, 37.6, 44.2)","(39.17, 37.65, 37.6, 37.7)","(56.05, 54.3, 37.6, 71.0)","26 Aug 2024, 05:17PM"
univfd_clip_rn50_prob0.5_0.5thresh,"(63.26, 59.15, 56.46, 61.84)","(97.59, 90.76, 86.68, 94.85)","(73.98, 67.41, 43.91, 90.92)","(74.32, 66.27, 65.65, 66.9)","(74.45, 71.12, 62.29, 79.94)","(88.0, 75.89, 62.92, 88.86)","(64.57, 58.4, 64.98, 51.83)","(51.08, 52.54, 39.67, 65.46)","(72.65, 61.94, 71.11, 52.78)","(40.5, 40.64, 59.36, 21.92)","(52.99, 50.9, 54.67, 47.13)","(67.08, 59.97, 54.67, 65.28)","(55.68, 52.35, 50.5, 54.2)","(70.52, 65.65, 50.9, 80.4)","(46.84, 46.95, 50.9, 43.0)","(72.1, 66.85, 50.9, 82.8)","(47.9, 47.0, 50.9, 43.1)","(47.32, 47.75, 50.9, 44.6)","(45.0, 44.9, 50.9, 38.9)","(59.28, 56.5, 50.9, 62.1)","26 Aug 2024, 04:36PM"
univfd_clip_rn50_prob0.5_bestthresh,"(63.26, 59.64, 69.75, 49.52)","(97.59, 91.78, 92.4, 91.15)","(73.98, 70.74, 57.31, 84.18)","(74.32, 67.07, 76.75, 57.4)","(74.45, 70.5, 72.39, 68.6)","(88.0, 78.56, 73.92, 83.2)","(64.57, 59.05, 81.89, 36.22)","(51.08, 51.23, 66.64, 35.77)","(72.65, 62.22, 89.44, 35.0)","(40.5, 44.52, 75.34, 13.7)","(52.99, 50.69, 74.04, 27.34)","(67.08, 60.87, 74.04, 47.7)","(55.68, 53.2, 62.7, 43.7)","(70.52, 65.25, 61.2, 69.3)","(46.84, 45.8, 61.2, 30.4)","(72.1, 66.85, 61.2, 72.5)","(47.9, 46.65, 61.2, 32.1)","(47.32, 47.35, 61.2, 33.5)","(45.0, 44.75, 61.2, 28.3)","(59.28, 56.05, 61.2, 50.9)","26 Aug 2024, 04:36PM"
univfd_clip_vitl14_prob0.1_0.5thresh,"(93.96, 83.64, 94.94, 72.34)","(100.0, 99.92, 99.9, 99.95)","(99.85, 98.75, 98.49, 99.02)","(99.6, 96.85, 97.95, 95.75)","(99.35, 87.8, 99.72, 75.88)","(99.99, 99.28, 98.66, 99.9)","(99.8, 97.27, 95.65, 98.9)","(86.47, 68.05, 98.85, 37.14)","(53.87, 54.44, 33.89, 75.0)","(79.74, 61.42, 94.98, 27.85)","(95.6, 61.46, 99.94, 22.99)","(98.8, 77.93, 99.94, 55.92)","(89.39, 74.0, 95.0, 53.0)","(99.62, 96.05, 98.7, 93.4)","(95.26, 79.85, 98.7, 61.0)","(99.57, 96.6, 98.7, 94.5)","(96.31, 81.65, 98.7, 64.6)","(96.94, 83.35, 98.7, 68.0)","(96.15, 81.8, 98.7, 64.9)","(98.93, 92.7, 98.7, 86.7)","26 Aug 2024, 05:31PM"
univfd_clip_vitl14_prob0.1_bestthresh,"(93.96, 83.47, 94.97, 71.96)","(100.0, 99.92, 99.92, 99.92)","(99.85, 98.75, 98.49, 99.02)","(99.6, 96.88, 98.05, 95.7)","(99.35, 87.66, 99.73, 75.58)","(99.99, 99.28, 98.66, 99.9)","(99.8, 97.32, 95.85, 98.8)","(86.47, 67.68, 98.93, 36.32)","(53.87, 54.17, 33.89, 74.44)","(79.74, 60.73, 94.98, 26.48)","(95.6, 61.24, 99.94, 22.55)","(98.8, 77.67, 99.94, 55.41)","(89.39, 73.65, 95.1, 52.2)","(99.62, 96.05, 98.7, 93.4)","(95.26, 79.7, 98.7, 60.7)","(99.57, 96.55, 98.7, 94.4)","(96.31, 81.4, 98.7, 64.1)","(96.94, 83.2, 98.7, 67.7)","(96.15, 81.5, 98.7, 64.3)","(98.93, 92.55, 98.7, 86.4)","26 Aug 2024, 05:31PM"
univfd_clip_vitl14_prob0_0.5thresh,"(63.04, 56.81, 84.16, 29.45)","(57.62, 56.78, 70.58, 42.98)","(61.69, 55.0, 87.06, 22.94)","(77.49, 59.98, 94.7, 25.25)","(61.9, 56.79, 82.17, 31.4)","(65.6, 51.46, 96.32, 6.6)","(52.43, 51.35, 75.54, 27.16)","(68.09, 53.41, 98.41, 8.27)","(79.73, 60.0, 96.11, 23.89)","(83.74, 74.2, 87.67, 60.73)","(68.87, 52.08, 98.37, 5.78)","(41.96, 49.84, 98.37, 1.32)","(61.07, 52.6, 96.4, 8.8)","(54.03, 53.2, 73.9, 32.5)","(61.74, 58.4, 73.9, 42.9)","(53.42, 52.2, 73.9, 30.5)","(60.91, 59.6, 73.9, 45.3)","(60.57, 58.8, 73.9, 43.7)","(62.24, 61.15, 73.9, 48.4)","(64.71, 62.55, 73.9, 51.2)","26 Aug 2024, 05:31PM"
univfd_clip_vitl14_prob0_bestthresh,"(63.04, 61.62, 54.77, 68.47)","(57.62, 64.48, 41.05, 87.9)","(61.69, 63.13, 56.02, 70.25)","(77.49, 74.0, 76.45, 71.55)","(61.9, 61.58, 52.28, 70.87)","(65.6, 60.81, 82.9, 38.72)","(52.43, 58.0, 37.32, 78.69)","(68.09, 61.67, 83.15, 40.1)","(79.73, 71.67, 63.33, 80.0)","(83.74, 74.66, 60.73, 88.58)","(68.87, 65.97, 60.42, 71.53)","(41.96, 41.71, 60.42, 23.0)","(61.07, 57.3, 82.4, 32.2)","(54.03, 56.85, 40.6, 73.1)","(61.74, 58.65, 40.6, 76.7)","(53.42, 55.3, 40.6, 70.0)","(60.91, 60.1, 40.6, 79.6)","(60.57, 60.2, 40.6, 79.8)","(62.24, 61.55, 40.6, 82.5)","(64.71, 63.25, 40.6, 85.9)","26 Aug 2024, 05:31PM"
univfd_clip_vitl14_prob0.5_0.5thresh,"(93.47, 81.09, 95.51, 66.67)","(100.0, 99.81, 99.8, 99.82)","(99.76, 98.22, 98.64, 97.8)","(99.38, 95.28, 98.25, 92.3)","(98.14, 84.89, 99.78, 70.01)","(99.99, 99.54, 99.34, 99.74)","(99.54, 96.77, 95.5, 98.05)","(83.59, 68.79, 96.49, 40.99)","(59.18, 58.33, 41.67, 75.0)","(78.31, 56.39, 96.8, 15.98)","(96.44, 56.86, 99.97, 13.74)","(98.67, 70.14, 99.97, 40.32)","(87.23, 69.65, 96.2, 43.1)","(99.38, 94.35, 98.9, 89.8)","(92.91, 74.0, 98.9, 49.1)","(99.32, 95.3, 98.9, 91.7)","(95.38, 78.25, 98.9, 57.6)","(95.71, 78.8, 98.9, 58.7)","(95.1, 77.65, 98.9, 56.4)","(97.8, 87.7, 98.9, 76.5)","26 Aug 2024, 04:59PM"
univfd_clip_vitl14_prob0.5_bestthresh,"(93.47, 82.04, 94.71, 69.36)","(100.0, 99.84, 99.78, 99.9)","(99.76, 98.26, 98.26, 98.26)","(99.38, 95.6, 97.85, 93.35)","(98.14, 85.7, 99.62, 71.77)","(99.99, 99.51, 99.24, 99.78)","(99.54, 96.1, 93.8, 98.4)","(83.59, 70.88, 94.53, 47.15)","(59.18, 58.33, 36.67, 80.0)","(78.31, 58.45, 96.35, 20.55)","(96.44, 57.89, 99.97, 15.81)","(98.67, 71.53, 99.97, 43.09)","(87.23, 70.6, 95.4, 45.8)","(99.38, 94.85, 98.3, 91.4)","(92.91, 75.6, 98.3, 52.9)","(99.32, 95.45, 98.3, 92.6)","(95.38, 80.15, 98.3, 62.0)","(95.71, 80.8, 98.3, 63.3)","(95.1, 80.3, 98.3, 62.3)","(97.8, 88.85, 98.3, 79.4)","26 Aug 2024, 04:59PM"
l